,Mobility,Complexity,skewness
ch1,0.0005129420794763942,0.9506227450582109,0.0
ch2,0.0009948024874533465,12.849688521232798,0.0
ch3,0.0005046392710135975,1.192505735777585,0.0
ch4,0.0007623076590408087,1.5427866744208867,0.0
ch5,0.0006852703634228774,4.775661889759714,0.0
ch6,0.001073856383685577,0.3362689730073959,0.0
ch7,0.0006312717088404094,1.795236060845198,0.0
ch8,0.0005616158118332662,0.6083880497137899,0.0
ch9,0.0007365704897800422,15.984981698215796,0.0
ch10,0.000896476907935453,6.385049017461538,0.0
ch11,0.0005035415139396571,1.4319634643238957,0.0
ch12,0.0011629527080491827,2.287546854945486,0.0
ch13,0.0005504876885725576,3.4761601380332405,0.0
ch14,0.0005230971527175288,3.5748548516559975,0.0
