File;Segment;coef_variation;first_diff_max;first_diff_mean;kurtosis;power1;power2;power3;power4;ratio1;ratio2;ratio3;ratio4;sec_diff_max;sec_diff_mean;slopemean;slopevar;spec_entropy;w1;w2;w3;w4;w5;w6;w7;w8;welch1;welch2;welch3;welch4;labels_jules;Skewness;Mobility;Complexity
2;14;5.954859279;6.90E-05;5.78E-06;7.029044932;0.671324692;0.35001756;0.405622433;1.528357072;0.227157903;0.118436363;0.13725153;0.517154204;4.88E-05;4.67E-06;-3.02E-08;9.51E-11;0.747425421;5.14E-06;0.000141755;-1.08E-09;5.07E-06;0.000501106;4.35E-07;-0.007319707;-9.22E-06;1.99E-09;2.61E-11;5.49E-12;5.89E-12;1;-0.324001147;0.000838689;8.304964766
2;15;17.96190771;7.14E-05;5.17E-06;0.766224408;0.52575207;0.22686683;0.251903987;0.95613441;0.268150926;0.115709579;0.128479356;0.487660139;5.02E-05;4.19E-06;-5.08E-09;4.88E-11;0.755750686;1.21E-05;0.000120632;-3.15E-11;4.23E-06;0.000334863;2.29E-07;-0.005202403;-5.28E-06;1.42E-09;2.28E-11;4.62E-12;5.55E-12;1;-0.194160541;0.000891838;7.712742849
2;16;32.26502129;6.39E-05;5.49E-06;0.10257064;0.588162571;0.303593517;0.394338675;1.539040809;0.208189149;0.107461575;0.139582213;0.544767063;4.43E-05;4.43E-06;-1.24E-08;8.04E-11;0.728304274;2.24E-05;0.000109967;-6.51E-10;4.84E-06;0.000266313;3.53E-07;-0.004225248;-7.60E-06;1.16E-09;1.94E-11;5.41E-12;6.58E-12;1;-0.102522687;0.000915843;10.83303413
2;17;4.54940639;0.000116754;5.68E-06;1.423881792;0.845554192;0.350004215;0.402504099;1.529185811;0.270382811;0.111920826;0.128708711;0.488987652;0.000101199;4.61E-06;-2.21E-08;8.70E-11;0.753337733;1.88E-05;0.000119506;-3.26E-09;5.17E-06;0.000279662;4.20E-07;-0.004468013;-8.81E-06;1.23E-09;3.12E-11;1.03E-11;8.27E-12;1;-0.197349998;0.000886354;7.998265375
2;18;-2.640403286;6.34E-05;5.47E-06;2.868283129;0.478330888;0.278740497;0.367317321;1.415065041;0.188359756;0.109763959;0.144644226;0.557232059;3.53E-05;4.40E-06;-1.65E-08;5.74E-11;0.722291972;-3.65E-05;0.000119026;8.11E-10;4.51E-06;0.000344436;2.74E-07;-0.005394842;-6.16E-06;1.32E-09;3.53E-11;6.54E-12;9.59E-12;1;-0.375851592;0.000777422;14.3136621
2;19;-36.24165995;6.98E-05;5.82E-06;0.367196824;0.43446631;0.230845357;0.290363622;1.180813346;0.203355311;0.108048951;0.135906935;0.552688803;5.03E-05;4.71E-06;-1.55E-08;1.00E-10;0.722796005;-1.86E-05;0.000128101;1.93E-10;5.21E-06;0.00040905;4.82E-07;-0.006285967;-1.00E-05;1.44E-09;2.03E-11;5.39E-12;9.55E-12;1;-0.023640084;0.000955867;10.35908239
2;20;-51.79931996;5.26E-05;5.52E-06;0.036141716;0.516649134;0.318883767;0.397049636;1.596993248;0.182588901;0.112696669;0.140321259;0.56439317;4.40E-05;4.45E-06;-1.17E-08;5.74E-11;0.717592049;-3.82E-06;0.000140599;1.42E-09;4.53E-06;0.00040895;2.73E-07;-0.00635551;-6.17E-06;1.39E-09;2.16E-11;4.88E-12;9.22E-12;1;-0.182912918;0.000785318;36.61893238
3;1;-4.645145947;0.002719624;8.69E-06;33.57468398;39.69203705;7.801554649;4.958576922;9.292941208;0.642836933;0.126350972;0.080307201;0.150504894;0.00132138;6.50E-06;-1.04E-07;1.72E-09;0.641823045;-0.000236862;0.001312028;-7.18E-10;1.94E-05;0.02680343;5.93E-06;-0.268686153;-8.76E-05;9.84E-08;4.15E-09;1.06E-09;4.08E-10;1;-3.211886369;0.000292239;5.222085669
3;2;-1.731508968;0.001321489;2.05E-05;91.7078266;17.41043604;4.222169947;3.396806559;5.614304369;0.568156797;0.137782566;0.110848386;0.183212251;0.000604826;1.63E-05;9.02E-08;1.25E-08;0.71395131;-8.50E-05;0.000420697;3.37E-10;2.59E-05;0.01358966;6.00E-05;-0.133615213;0;6.82E-08;9.61E-09;2.65E-09;1.92E-09;1;-2.188999638;0.000977522;3.855533729
3;3;-1.387652347;0.000410588;6.65E-06;14.4741297;13.55213632;3.739822302;3.046801826;6.940330008;0.496795754;0.137094831;0.111690008;0.254419407;0.000239082;5.37E-06;-1.58E-08;1.15E-10;0.753700919;-3.21E-05;0.000169775;-9.09E-10;6.79E-06;0.00062146;7.38E-07;-0.008698063;-1.38E-05;4.20E-09;4.00E-10;5.87E-11;1.95E-11;1;-0.460989037;0.000726789;5.648206829
3;4;12.13466888;0.005761496;1.86E-05;39.08773128;174.8069167;89.18525032;69.75365349;148.2728748;0.362655885;0.185024463;0.144711511;0.307608141;0.004141801;1.50E-05;2.92E-07;2.10E-08;0.821656527;4.58E-05;0.001128512;3.40E-09;7.13E-05;0.023318215;8.91E-05;-0.229580558;-0.00112987;1.71E-07;2.01E-08;8.21E-09;3.62E-09;1;-0.372964353;0.001305084;0.377778112
3;5;1.097538672;0.002036148;2.74E-05;141.3126752;14.08046744;4.354786321;3.323550097;6.79458446;0.493127726;0.15251382;0.116397748;0.237960707;0.000802634;2.13E-05;-3.50E-07;1.57E-08;0.762630802;-5.19E-05;0.000399069;-2.08E-10;3.01E-05;0.009249604;7.24E-05;-0.093209358;-0.001026805;6.04E-08;9.67E-09;4.62E-09;2.14E-09;1;-1.609952713;0.001396416;3.173484779
3;6;5.800214885;0.000795239;1.53E-05;147.1754334;6.870206561;3.658511069;2.761933132;4.712013093;0.381621665;0.20322054;0.153418025;0.26173977;0.000414377;1.13E-05;-1.28E-07;1.39E-09;0.82630296;-3.77E-05;0.000278344;-1.43E-09;1.34E-05;0.00146126;6.17E-06;-0.018752047;-0.000108034;1.10E-08;4.35E-09;8.06E-10;4.01E-10;1;-2.328198307;0.000870619;2.458905007
